,lyrics
CONCEIT, apprehend.

CONCEITED, fancifully, ingeniously devised or conceived;
possessed of intelligence, witty, ingenious (hence well
conceited, etc.); disposed to joke; of opinion, possessed
of an idea.

CONCEIVE, understand.

CONCENT, harmony, agreement.

CONCLUDE, infer, prove.

CONCOCT, assimilate, digest.

CONDEN'T, probably conducted.

CONDUCT, escort, conductor.

CONEY-CATCH, cheat.

CONFECT, sweetmeat.

CONFER, compare.

CONGIES, bows.

CONNIVE, give a look, wink, of secret intelligence.

CONSORT, company, concert.

CONSTANCY, fidelity, ardour, persistence.

CONSTANT, confirmed, persistent, faithful.

CONSTANTLY, firmly, persistently.

CONTEND, strive.

CONTINENT, holding together.

CONTROL (the point), bear or beat down.

CONVENT, assembly, meeting.

CONVERT, turn (oneself).

CONVEY, transmit from one to another.

CONVINCE, evince, prove; overcome, overpower; convict.

COP, head, top; tuft on head of birds; ""a cop"" may
have reference to one or other meaning; Gifford and
others interpret as ""conical, terminating in a point.""

COPE-MAN, chapman.

COPESMATE, companion.

COPY (Lat. copia), abundance, copiousness.

CORN (""powder—""), grain.

COROLLARY, finishing part or touch.

CORSIVE, corrosive.

CORTINE, curtain, (arch.) wall between two towers, etc.

CORYAT, famous for his travels, published as ""Coryat's
Crudities.""

COSSET, pet lamb, pet.

COSTARD, head.

COSTARD-MONGER, apple-seller, coster-monger.

COSTS, ribs.

COTE, hut.

COTHURNAL, from ""cothurnus,"" a particular boot worn by
actors in Greek tragedy.

COTQUEAN, hussy.

COUNSEL, secret.

COUNTENANCE, means necessary for support; credit, standing.

COUNTER.  See Compter.

COUNTER, pieces of metal or ivory for calculating at play.

COUNTER, ""hunt—,"" follow scent in reverse direction.

COUNTERFEIT, false coin.

COUNTERPANE, one part or counterpart of a deed or indenture.

COUNTERPOINT, opposite, contrary point.

COURT-DISH, a kind of drinking-cup (Halliwell); N.E.D.
quotes from Bp. Goodman's ""Court of James I."": ""The
king...caused his carver to cut him out a court-dish,
that is, something of every dish, which he sent him as
part of his reversion,"" but this does not sound like
short allowance or small receptacle.

COURT-DOR, fool.

COURTEAU, curtal, small horse with docked tail.

COURTSHIP, courtliness.

COVETISE, avarice.

COWSHARD, cow dung.

COXCOMB, fool's cap, fool.

COY, shrink; disdain.

COYSTREL, low varlet.

COZEN, cheat.

CRACK, lively young rogue, wag.

CRACK, crack up, boast; come to grief.

CRAMBE, game of crambo, in which the players find
rhymes for a given word.

CRANCH, craunch.

CRANION, spider-like; also fairy appellation for a
fly (Gifford, who refers to lines in Drayton's
""Nimphidia"").

CRIMP, game at cards.

CRINCLE, draw back, turn aside.

CRISPED, with curled or waved hair.

CROP, gather, reap.

CROPSHIRE, a kind of herring.  (See N.E.D.)

CROSS, any piece of money, many coins being stamped
with a cross.

CROSS AND PILE, heads and tails.

CROSSLET, crucible.

CROWD, fiddle.

CRUDITIES, undigested matter.

CRUMP, curl up.

CRUSADO, Portuguese gold coin, marked with a cross.

CRY (""he that cried Italian""), ""speak in a musical
cadence,"" intone, or declaim (?); cry up.

CUCKING-STOOL, used for the ducking of scolds, etc.

CUCURBITE, a gourd-shaped vessel used for distillation.

CUERPO, ""in—,"" in undress.

CULLICE, broth.

CULLION, base fellow, coward.

CULLISEN, badge worn on their arm by servants.

CULVERIN, kind of cannon.

CUNNING, skill.

CUNNING, skilful.

CUNNING-MAN, fortune-teller.

CURE, care for.

CURIOUS(LY), scrupulous, particular; elaborate,
elegant(ly), dainty(ly) (hence ""in curious"").

CURST, shrewish, mischievous.

CURTAL, dog with docked tail, of inferior sort.

CUSTARD, ""quaking—,"" ""—politic,"" reference to
a large custard which formed part of a city feast
and afforded huge entertainment, for the fool jumped
into it, and other like tricks were played.  (See
""All's Well, etc."" ii. 5, 40.)

CUTWORK, embroidery, open-work.

CYPRES (CYPRUS) (quibble), cypress (or cyprus) being
a transparent material, and when black used for mourning.

DAGGER (""—frumety""), name of tavern.

DARGISON, apparently some person known in ballad or tale.

DAUPHIN MY BOY, refrain of old comic song.

DAW, daunt.

DEAD LIFT, desperate emergency.

DEAR, applied to that which in any way touches us nearly.

DECLINE, turn off from; turn away, aside.

DEFALK, deduct, abate.

DEFEND, forbid.

DEGENEROUS, degenerate.

DEGREES, steps.

DELATE, accuse.

DEMI-CULVERIN, cannon carrying a ball of about ten pounds.

DENIER, the smallest possible coin, being the twelfth
part of a sou.

DEPART, part with.

DEPENDANCE, ground of quarrel in duello language.

DESERT, reward.

DESIGNMENT, design.

DESPERATE, rash, reckless.

DETECT, allow to be detected, betray, inform against.

DETERMINE, terminate.

DETRACT, draw back, refuse.

DEVICE, masque, show; a thing moved by wires,
etc., puppet.

DEVISE, exact in every particular.

DEVISED, invented.

DIAPASM, powdered aromatic herbs, made into balls
of perfumed paste.  (See Pomander.)

DIBBLE, (?) moustache (N.E.D.); (?) dagger (Cunningham).

DIFFUSED, disordered, scattered, irregular.

DIGHT, dressed.

DILDO, refrain of popular songs; vague term of low meaning.

DIMBLE, dingle, ravine.

DIMENSUM, stated allowance.

DISBASE, debase.

DISCERN, distinguish, show a difference between.

DISCHARGE, settle for.

DISCIPLINE, reformation; ecclesiastical system.

DISCLAIM, renounce all part in.

DISCOURSE, process of reasoning, reasoning faculty.

DISCOURTSHIP, discourtesy.

DISCOVER, betray, reveal; display.

DISFAVOUR, disfigure.

DISPARAGEMENT, legal term applied to the unfitness
in any way of a marriage arranged for in the case
of wards.

DISPENSE WITH, grant dispensation for.

DISPLAY, extend.

DIS'PLE, discipline, teach by the whip.

DISPOSED, inclined to merriment.

DISPOSURE, disposal.

DISPRISE, depreciate.

DISPUNCT, not punctilious.

DISQUISITION, search.

DISSOLVED, enervated by grief.

DISTANCE, (?) proper measure.

DISTASTE, offence, cause of offence.

DISTASTE, render distasteful.

DISTEMPERED, upset, out of humour.

DIVISION (mus.), variation, modulation.

DOG-BOLT, term of contempt.

DOLE, given in dole, charity.

DOLE OF FACES, distribution of grimaces.

DOOM, verdict, sentence.

DOP, dip, low bow.

DOR, beetle, buzzing insect, drone, idler.

DOR, (?) buzz; ""give the—,"" make a fool of.

DOSSER, pannier, basket.

DOTES, endowments, qualities.

DOTTEREL, plover; gull, fool.

DOUBLE, behave deceitfully.

DOXY, wench, mistress.

DRACHM, Greek silver coin.

DRESS, groom, curry.

DRESSING, coiffure.

DRIFT, intention.

DRYFOOT, track by mere scent of foot.

DUCKING, punishment for minor offences.

DUILL, grieve.

DUMPS, melancholy, originally a mournful melody.

DURINDANA, Orlando's sword.

DWINDLE, shrink away, be overawed.

EAN, yean, bring forth young.

EASINESS, readiness.

EBOLITION, ebullition.

EDGE, sword.

EECH, eke.

EGREGIOUS, eminently excellent.

EKE, also, moreover.

E-LA, highest note in the scale.

EGGS ON THE SPIT, important business on hand.

ELF-LOCK, tangled hair, supposed to be the work of elves.

EMMET, ant.

ENGAGE, involve.

ENGHLE.  See Ingle.

ENGHLE, cajole; fondle.

ENGIN(E), device, contrivance; agent; ingenuity, wit.

ENGINER, engineer, deviser, plotter.

ENGINOUS, crafty, full of devices; witty, ingenious.

ENGROSS, monopolise.

ENS, an existing thing, a substance.

ENSIGNS, tokens, wounds.

ENSURE, assure.

ENTERTAIN, take into service.

ENTREAT, plead.

ENTREATY, entertainment.

ENTRY, place where a deer has lately passed.

ENVOY, denouement, conclusion.

ENVY, spite, calumny, dislike, odium.

EPHEMERIDES, calendars.

EQUAL, just, impartial.

ERECTION, elevation in esteem.

ERINGO, candied root of the sea-holly, formerly
used as a sweetmeat and aphrodisiac.

ERRANT, arrant.

ESSENTIATE, become assimilated.

ESTIMATION, esteem.

ESTRICH, ostrich.

ETHNIC, heathen.

EURIPUS, flux and reflux.

EVEN, just equable.

EVENT, fate, issue.

EVENT(ED), issue(d).

EVERT, overturn.

EXACUATE, sharpen.

EXAMPLESS, without example or parallel.

EXCALIBUR, King Arthur's sword.

EXEMPLIFY, make an example of.

EXEMPT, separate, exclude.

EXEQUIES, obsequies.

EXHALE, drag out.

EXHIBITION, allowance for keep, pocket-money.

EXORBITANT, exceeding limits of propriety or law,
inordinate.

EXORNATION, ornament.

EXPECT, wait.

EXPIATE, terminate.

EXPLICATE, explain, unfold.

EXTEMPORAL, extempore, unpremeditated.

EXTRACTION, essence.

EXTRAORDINARY, employed for a special or temporary purpose.

EXTRUDE, expel.

EYE, ""in—,"" in view.

EYEBRIGHT, (?) a malt liquor in which the herb of
this name was infused, or a person who sold the same
(Gifford).

EYE-TINGE, least shade or gleam.

FACE, appearance.

FACES ABOUT, military word of command.

FACINOROUS, extremely wicked.

FACKINGS, faith.

FACT, deed, act, crime.

FACTIOUS, seditious, belonging to a party, given to party feeling.

FAECES, dregs.

FAGIOLI, French beans.

FAIN, forced, necessitated.

FAITHFUL, believing.

FALL, ruff or band turned back on the shoulders; or, veil.

FALSIFY, feign (fencing term).

FAME, report.

FAMILIAR, attendant spirit.

FANTASTICAL, capricious, whimsical.

FARCE, stuff.

FAR-FET.  See Fet.

FARTHINGAL, hooped petticoat.

FAUCET, tapster.

FAULT, lack; loss, break in line of scent; ""for—,"" in default of.

FAUTOR, partisan.

FAYLES, old table game similar to backgammon.

FEAR(ED), affright(ed).

FEAT, activity, operation; deed, action.

FEAT, elegant, trim.

FEE, ""in—"" by feudal obligation.

FEIZE, beat, belabour.

FELLOW, term of contempt.

FENNEL, emblem of flattery.

FERE, companion, fellow.

FERN-SEED, supposed to have power of rendering invisible.

FET, fetched.

FETCH, trick.

FEUTERER (Fr. vautrier), dog-keeper.

FEWMETS, dung.

FICO, fig.

FIGGUM, (?) jugglery.

FIGMENT, fiction, invention.

FIRK, frisk, move suddenly, or in jerks; ""—up,""
stir up, rouse; ""firks mad,"" suddenly behaves like
a madman.

FIT, pay one out, punish.

FITNESS, readiness.

FITTON (FITTEN), lie, invention.

FIVE-AND-FIFTY, ""highest number to stand on at
primero"" (Gifford).

FLAG, to fly low and waveringly.

FLAGON CHAIN, for hanging a smelling-bottle (Fr.
flacon) round the neck (?).  (See N.E.D.).

FLAP-DRAGON, game similar to snap-dragon.

FLASKET, some kind of basket.

FLAW, sudden gust or squall of wind.

FLAWN, custard.

FLEA, catch fleas.

FLEER, sneer, laugh derisively.

FLESH, feed a hawk or dog with flesh to incite
it to the chase; initiate in blood-shed; satiate.

FLICKER-MOUSE, bat.

FLIGHT, light arrow.

FLITTER-MOUSE, bat.

FLOUT, mock, speak and act contemptuously.

FLOWERS, pulverised substance.

FLY, familiar spirit.

FOIL, weapon used in fencing; that which
sets anything off to advantage.

FOIST, cut-purse, sharper.

FOND(LY), foolish(ly).

FOOT-CLOTH, housings of ornamental cloth which
hung down on either side a horse to the ground.

FOOTING, foothold; footstep; dancing.

FOPPERY, foolery.

FOR, ""—failing,"" for fear of failing.

FORBEAR, bear with; abstain from.

FORCE, ""hunt at—,"" run the game down with dogs.

FOREHEAD, modesty; face, assurance, effrontery.

FORESLOW, delay.

FORESPEAK, bewitch; foretell.

FORETOP, front lock of hair which fashion
required to be worn upright.

FORGED, fabricated.

FORM, state formally.

FORMAL, shapely; normal; conventional.

FORTHCOMING, produced when required.

FOUNDER, disable with over-riding.

FOURM, form, lair.

FOX, sword.

FRAIL, rush basket in which figs or raisins
were packed.

FRAMPULL, peevish, sour-tempered.

FRAPLER, blusterer, wrangler.

FRAYING, ""a stag is said to fray his head when he
rubs it against a tree to...cause the outward coat
of the new horns to fall off"" (Gifford).

FREIGHT (of the gazetti), burden (of the newspapers).

FREQUENT, full.

FRICACE, rubbing.

FRICATRICE, woman of low character.

FRIPPERY, old clothes shop.

FROCK, smock-frock.

FROLICS, (?) humorous verses circulated at a feast
(N.E.D.); couplets wrapped round sweetmeats (Cunningham).

FRONTLESS, shameless.

FROTED, rubbed.

FRUMETY, hulled wheat boiled in milk and spiced.

FRUMP, flout, sneer.

FUCUS, dye.

FUGEAND, (?) figent: fidgety, restless (N.E.D.).

FULLAM, false dice.

FULMART, polecat.

FULSOME, foul, offensive.

FURIBUND, raging, furious.

GALLEY-FOIST, city-barge, used on Lord Mayor's Day,
when he was sworn into his office at Westminster
(Whalley).

GALLIARD, lively dance in triple time.

GAPE, be eager after.

GARAGANTUA, Rabelais' giant.

GARB, sheaf (Fr. gerbe); manner, fashion, behaviour.

GARD, guard, trimming, gold or silver lace, or other
ornament.

GARDED, faced or trimmed.

GARNISH, fee.

GAVEL-KIND, name of a land-tenure existing chiefly in
Kent; from 16th century often used to denote custom
of dividing a deceased man's property equally among
his sons (N.E.D.).

GAZETTE, small Venetian coin worth about three-farthings.

GEANCE, jaunt, errand.
